hpid,name,emcls,emcls_name,addr,tel_main,tel_er,lat,lon,sido
A2200008,강릉아산병원,G001,권역응급의료센터,강원특별자치도 강릉시 사천면 방동길 38,033-610-3114,033-610-3333,37.818426685036066,128.85771413305145,강원특별자치도
A2200009,강원대학교병원,G006,지역응급의료센터,"강원특별자치도 춘천시 백령로 156-  (효자동,(효자동))",033-258-2000,033-258-2293,37.87497158192399,127.74448573764938,강원특별자치도
A2200011,강원특별자치도강릉의료원,G007,지역응급의료기관,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1200,033-610-1234,37.74931042017154,128.8887963251862,강원특별자치도
A2200007,강원특별자치도삼척의료원,G006,지역응급의료센터,강원특별자치도 삼척시 오십천로 473 (정상동),033-572-1141,033-571-0431,37.44027922704624,129.16370014395005,강원특별자치도
A2200012,강원특별자치도속초의료원,G006,지역응급의료센터,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,033-630-6190,38.21622784728713,128.5891194514502,강원특별자치도
A2200002,강원특별자치도영월의료원,G007,지역응급의료기관,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),033-370-9101,033-370-9129,37.186588403987926,128.46530529870284,강원특별자치도
A2200015,강원특별자치도원주의료원,G007,지역응급의료기관,"강원특별자치도 원주시 서원대로 387 (개운동, (개운동))",033-760-4500,033-760-4701,37.332496031537154,127.94896203327231,강원특별자치도
A2200038,근로복지공단동해병원,G009,응급실운영신고기관,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3100,033-530-3119,37.53232311891651,129.1058560226859,강원특별자치도
A2200048,근로복지공단정선병원,G007,지역응급의료기관,강원특별자치도 정선군 정선읍 봉양1길 145,033-560-7100,033-560-7150,37.3829238141538,128.658420530712,강원특별자치도
A2200004,근로복지공단태백병원,G007,지역응급의료기관,"강원특별자치도 태백시 보드미길 8 (장성동, (장성동))",033-580-3114,033-580-3119,37.10404228529155,129.0042870499601,강원특별자치도
A2200001,연세대학교원주세브란스기독병원,G001,권역응급의료센터,"강원특별자치도 원주시 일산로 20-0 (일산동, (일산동))",033-741-0114,033-741-1641,37.34795543031888,127.9456453098751,강원특별자치도
A2200005,의료법인강릉동인병원,G006,지역응급의료센터,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6113,033-650-6105,37.77432579461282,128.90714180258507,강원특별자치도
A2200003,의료법인동해동인병원,G007,지역응급의료기관,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0114,033-530-0129,37.530006805605616,129.1074043067605,강원특별자치도
A2200037,의료법인성심의료재단양구성심병원,G007,지역응급의료기관,강원특별자치도 양구군 양구읍 중심로 160,033-480-8803,033-480-8816,38.1047788862656,127.99119726275,강원특별자치도
A2200024,의료법인성지의료재단성지병원,G007,지역응급의료기관,강원특별자치도 원주시 원일로 22 (인동),033-760-3101,033-760-3119,37.3452989790958,127.954009227598,강원특별자치도
A2200046,의료법인온세움의료재단온재병원,G007,지역응급의료기관,강원특별자치도 속초시 중앙로 11 (교동),033-639-8633,033-639-8988,38.198021245336555,128.57838660480326,강원특별자치도
A2200033,인성병원,G009,응급실운영신고기관,강원특별자치도 춘천시 금강로 39 (낙원동),033-253-3030,033-259-8119,37.88124367430593,127.7268803699377,강원특별자치도
A2201730,철원병원,G007,지역응급의료기관,강원특별자치도 철원군 갈말읍 명성로 208-0,033-452-5011,033-452-5012,38.15033057072112,127.30802768817259,강원특별자치도
E2200026,평창군보건의료원,G007,지역응급의료기관,강원특별자치도 평창군 평창읍 노성로 11,033-332-4000,033-330-4812,37.360577433652736,128.3890508672411,강원특별자치도
