2026-09-22 14:58:56 수집 시작: ['서울특별시'], 간격 30분, 출력 /Users/kyongminsun/bigdata/ed-transfer/snapshots
2026-09-22 14:58:58 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 109건
2026-09-22 15:28:58 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 110건
2026-09-22 15:59:01 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 110건
2026-09-22 16:29:03 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 110건
2026-09-22 16:59:01 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 110건
2026-09-22 17:29:05 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 111건
2026-09-22 17:59:06 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 114건
2026-09-22 18:29:08 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 18:59:10 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 19:29:11 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 19:59:12 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 20:29:14 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 20:59:15 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 115건
2026-09-22 21:29:16 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 114건
2026-09-22 21:59:17 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 114건
2026-09-22 22:29:19 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 120건
2026-09-22 22:59:22 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 120건
2026-09-22 23:29:24 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 120건
2026-09-22 23:59:26 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 120건
2026-09-23 00:29:27 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
2026-09-23 00:59:28 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
2026-09-23 01:29:29 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
2026-09-23 01:59:32 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
2026-09-23 02:29:34 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
2026-09-23 02:59:36 [서울특별시] 병상 51기관, 수용가능 54기관, 메시지 121건
